
J1

0, 0
1, 574
2, 31786
3, 127881
4, 402498
5, 316863
6, 92458
7, 20308
8, 4124
9, 964

J2

0, 0
1, 521
2, 31858
3, 127386
4, 402604
5, 317000
6, 92738
7, 20230
8, 4175
9, 961

J3

0, 0
1, 582
2, 31660
3, 127287
4, 402706
5, 316969
6, 92985
7, 20263
8, 4099
9, 956

J4

0, 0
1, 615
2, 31703
3, 128161
4, 402360
5, 316820
6, 92470
7, 20304
8, 4123
9, 935

J5

0, 0
1, 591
2, 31732
3, 127640
4, 402492
5, 316729
6, 92902
7, 20316
8, 4152
9, 953

J6

0, 0
1, 586
2, 31365
3, 127914
4, 402870
5, 316411
6, 93298
7, 20008
8, 4101
9, 908

J7

0, 0
1, 605
2, 31491
3, 128000
4, 401804
5, 317243
6, 93036
7, 20128
8, 4172
9, 959

J8

0, 0
1, 522
2, 31965
3, 127770
4, 402895
5, 316425
6, 92817
7, 20047
8, 4083
9, 1020

J9

0, 0
1, 497
2, 31612
3, 127847
4, 402902
5, 316587
6, 92801
7, 20260
8, 4153
9, 955

J10

0, 0
1, 502
2, 32179
3, 126968
4, 402714
5, 317213
6, 92787
7, 20179
8, 4054
9, 957
