
J1

0, 0
1, 0
2, 48
3, 240
4, 1248
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J2

0, 0
1, 24
2, 48
3, 241
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J3

0, 0
1, 0
2, 48
3, 265
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J4

0, 0
1, 24
2, 48
3, 241
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J5

0, 0
1, 0
2, 48
3, 265
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J5

0, 0
1, 24
2, 49
3, 216
4, 1248
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J6

0, 0
1, 0
2, 48
3, 265
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J7

0, 0
1, 24
2, 49
3, 240
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J8

0, 0
1, 0
2, 72
3, 241
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000

J9

0, 0
1, 0
2, 24
3, 241
4, 1224
5, 5120
6, 20480
7, 76800
8, 256000
9, 640004

J10

0, 0
1, 0
2, 48
3, 240
4, 1248
5, 5120
6, 20480
7, 76800
8, 256000
9, 640000
